name,20180108,20180109
서귀동,2010,1953
이도이도,1652,1628
연동,1620,1742
이도2동,1607,1718
일도이동,1178,1140
성산읍,1157,1368
노형동,1144,1179
안덕면,1131,1164
건입동,1104,1037
용담2동,1077,1040
이도일동,1069,1081
표선면,1013,976
삼도이동,979,1067
일도2동,978,1008
애월읍,970,933
구좌읍,864,892
도남동,800,874
조천읍,752,860
한림읍,642,620
화북1동,631,580
서홍동,597,554
남원읍,528,590
용담일동,515,543
일도일동,502,608
중문동,484,601
아라2동,456,511
이도이동,451,506
아라이동,413,403
외도이동,403,361
대정읍,379,439
아라일동,355,410
한경면,355,413
동홍동,355,402
삼양2동,352,356
아라1동,277,293
삼도일동,249,238
색달동,248,239
삼도2동,210,190
용담1동,210,221
오라1동,178,166
삼도1동,155,161
용담삼동,108,122
서귀,85,74
삼양일동,80,97
법환동,80,71
봉개동,72,106
표선읍,66,65
대포동,64,45
오라일동,63,75
상효동,60,60
이도1동,59,63
하효동,58,71
삼양이동,57,59
상예동,55,57
외도일동,55,70
강정동,54,68
외도동,54,62
이호일동,48,43
아라동,46,41
용담이동,45,54
도두동,42,46
토평동,40,44
대륜동,37,51
용담3동,36,55
납원읍,35,46
영천동,31,38
회수동,27,35
오라이동,26,32
삼양동,25,26
용강동,25,16
신효동,24,25
이호1동,18,16
해안동,17,25
도두일동,16,14
이호동,15,16
월평동,14,15
화북동,11,10
하예동,10,9
하원동,10,13
호근동,10,11
일도1동,9,10
예래동,9,7
보목동,7,5
삼양삼동,4,2
도순동,3,0
오등동,1,8
