소재지,WiFi 접속자수,자동차등록수,사업체수,총인구수,세대수,주택수,아파트수,면수
한림읍,420383,12431,2174,25003,10204,933,733,53
애월읍,695233,22053,2514,36550,15563,2114,824,36
구좌읍,534957,9112,1738,16283,7670,333,90,4
조천읍,863303,13781,1873,24718,10538,1533,508,175
한경면,271661,5743,720,9447,4657,44,N/A,0
추자면,,822,214,2149,1049,7,N/A,0
우도면,95615,1223,305,1892,999,6,N/A,38
일도1동,356614,1086,1326,2993,1623,151,110,486
일도2동,1524817,14907,2210,34684,13187,1537,4716,690
이도1동,584394,3211,1532,7989,3677,234,1053,592
이도2동,1455341,37535,5162,50137,19526,4967,5089,1700
삼도1동,515924,12714,1367,14345,5952,718,1056,151
삼도2동,164619,3618,1029,8662,4161,501,682,618
용담1동,276242,3888,805,7610,3543,602,226,55
용담2동,1067146,21714,1113,15673,6456,876,1067,773
건입동,821032,4357,750,9857,4235,815,1041,370
화북동,1204150,14971,1546,25391,9542,1665,5148,324
삼양동,399091,12501,1000,25153,9273,1111,5215,656
봉개동,365427,3547,269,4936,2094,428,129,327
아라동,1362600,17815,2049,34321,13337,4065,3103,821
오라동,115860,11514,978,14906,5565,2480,479,971
연동,1702776,141225,4649,43217,19336,4450,5741,832
노형동,2591152,54617,4476,56223,21026,4321,9043,1587
외도동,518913,11471,1185,21741,8167,1482,3510,514
이호동,58805,5320,281,4654,1829,572,232,804
도두동,52102,8885,991,3257,1412,217,126,897
