name,value
노형동,4834174
서귀동,3280001
연동,3126565
이도2동,1834747
일도2동,1806665
조천읍,1677427
동홍동,1517329
용담2동,1425882
법환동,1343342
성산읍,1306846
서홍동,1196272
건입동,1018933
안덕면,1003790
삼도이동,975469
화북1동,962524
이도일동,954971
애월읍,939748
표선면,882465
중문동,831019
일도이동,756620
이도1동,751499
삼도1동,730185
대정읍,729594
도남동,720832
아라1동,697515
일도일동,579579
구좌읍,565136
색달동,543802
아라2동,538513
용담일동,510454
일도1동,475109
남원읍,464185
한림읍,450801
삼양2동,403544
봉개동,393438
화북2동,372650
토평동,362725
이도이동,347797
외도1동,343423
용담1동,301961
외도이동,300893
한경면,296704
호근동,261635
대포동,251660
삼도2동,248400
외도2동,245629
삼도일동,189546
이도이도,173410
영평동,172403
강정동,168570
우도면,156445
하효동,153175
오라1동,143625
아라동,139582
아라일동,121313
삼양일동,118309
용담삼동,116620
용담3동,114672
월평동,101829
도두동,101069
상효동,87710
대륜동,86628
오라일동,84874
서귀,79420
오라이동,72019
삼양1동,70038
상예동,65600
회수동,56473
이호1동,54661
외도일동,53137
영천동,52170
외도동,50944
아라이동,48560
이호일동,45880
도두일동,40092
도련1동,37253
납원읍,36870
삼양이동,34374
용강동,18162
이호동,14002
하원동,12440
화북동,10831
하예동,10718
신효동,9559
삼양동,9070
해안동,8943
보목동,8907
예래동,7916
오등동,6576
삼양삼동,3256
도순동,2089
용담이동,1490
