,주소,lat,loc
0,제주시 용담이동 483,33.515159,126.511633
1,제주시 용담이동 1611,33.503485,126.495621
2,제주시 삼도이동 1257,33.518504,126.519917
3,제주시 삼도이동 1192-8,33.516528,126.525296
4,제주시 이도이동 1012-10,33.495849,126.53144
5,제주시 연동 272-31,33.48941,126.491164
6,제주시 일도이동 409-11,33.505006,126.542007
7,제주시 일도일동 1476-33,33.51377,126.526755
8,제주시 이도이동 1066,33.494928,126.535393
9,제주시 이도일동 1330-5,33.511141,126.526257
10,제주시 연동 2322-7,33.491212,126.486071
11,제주시 일도일동 1476-1,33.514321,126.526409
12,제주시 이도일동 1257-4,33.502641,126.528899
13,제주시 일도일동 1401-13,33.514122,126.523788
14,제주시 이도이동 1052-2,33.496995,126.534998
15,제주시 일도일동 1104,33.512025,126.528596
16,제주시 일도일동 1103,33.512123,126.528344
17,제주시 삼도이동 1024,33.513494,126.520653
18,제주시 삼도이동 1263,33.517271,126.52424
19,제주시 노형동 1282-1,33.486287,126.477866
20,제주시 노형동 1290-3,33.487156,126.479908
21,제주시 노형동 1043-1,33.4896,126.476565
22,제주시 노형동 3793,33.483266,126.476883
23,제주시 일도일동 1226,33.51445,126.527794
24,제주시 건입동 1334,33.515816,126.528734
