소재지,WIFI 접속자수,자동차등록수,사업체수,총인구수,세대수
한림읍,450801,12228,2174,25080,10403
애월읍,939748,21404,2514,37345,16163
구좌읍,565136,8965,1738,16232,7723
조천읍,1677427,13868,1873,25313,10889
한경면,296704,5692,720,9405,4712
추자면,,803,214,2057,1023
우도면,156445,1084,305,1892,1007
일도1동,579579,1001,1326,2809,1564
일도2동,756620,14385,2210,33998,13196
이도1동,954971,3006,1532,7796,3645
이도2동,521207,22710,5162,50655,20241
삼도1동,189546,5485,1367,14005,5928
삼도2동,975469,3411,1029,8433,4081
용담1동,510454,3017,805,7315,3443
용담2동,118110,6531,1113,15328,6437
건입동,1018933,3957,750,9571,4163
화북동,1346005,13326,1546,25271,9586
삼양동,638591,12326,1000,25965,9634
봉개동,393438,3758,269,5363,2317
아라동,1545483,17840,2049,36024,14065
오라동,300518,8857,978,15588,5822
연동,3126565,41325,4649,43708,19951
노형동,4834174,25214,4476,56611,21670
외도동,994026,10777,1185,22108,8414
이호동,114543,2587,281,4764,1907
도두동,141161,2011,991,3314,1455
