base_year_month,bjd,grid_1km,user_cnt
201901,노형동,10004320398,4875
201901,노형동,10004320399,5251
201901,노형동,10004320497,97
201901,노형동,10004320498,31758
201901,노형동,10004320499,63937
201901,노형동,10004320595,2129
201901,노형동,10004320596,1049
201901,노형동,10004320597,3251
201901,노형동,10004320598,26054
201901,노형동,10004320599,127103
201901,노형동,10004320693,60
201901,노형동,10004330400,38007
201901,노형동,10004330500,42117
201901,애월읍,10004228894,3
201901,애월읍,10004228895,3431
201901,애월읍,10004228992,454
201901,애월읍,10004228993,22
201901,애월읍,10004228994,6
201901,애월읍,10004228995,2090
201901,애월읍,10004228996,1493
201901,애월읍,10004228997,13266
201901,애월읍,10004229088,7
201901,애월읍,10004229092,5
201901,애월읍,10004229094,54
201901,애월읍,10004229096,148
201901,애월읍,10004229097,17287
201901,애월읍,10004229192,155
201901,애월읍,10004229193,617
201901,애월읍,10004229194,132
201901,애월읍,10004229195,219
201901,애월읍,10004229196,187
201901,애월읍,10004229197,3552
201901,애월읍,10004229290,36
201901,애월읍,10004229292,1180
201901,애월읍,10004229293,39
201901,애월읍,10004229295,444
201901,애월읍,10004229296,1366
201901,애월읍,10004229297,11398
201901,애월읍,10004229298,2178
201901,애월읍,10004229385,152
201901,애월읍,10004229386,19
201901,애월읍,10004229389,19
201901,애월읍,10004229393,12
201901,애월읍,10004229394,1
201901,애월읍,10004229396,309
201901,애월읍,10004229397,2307
201901,애월읍,10004229398,3789
201901,애월읍,10004229399,446
201901,애월읍,10004229486,1271
201901,애월읍,10004229487,572
201901,애월읍,10004229488,1301
201901,애월읍,10004229491,85
201901,애월읍,10004229495,951
201901,애월읍,10004229496,17
201901,애월읍,10004229498,2845
201901,애월읍,10004229499,2653
201901,애월읍,10004229588,10
201901,애월읍,10004229590,10
201901,애월읍,10004229591,339
201901,애월읍,10004229592,11
201901,애월읍,10004229593,509
201901,애월읍,10004229594,377
201901,애월읍,10004229595,26
201901,애월읍,10004229596,59
201901,애월읍,10004229598,3486
201901,애월읍,10004229599,3182
201901,애월읍,10004229684,336
201901,애월읍,10004229691,235
201901,애월읍,10004229695,1475
201901,애월읍,10004229696,90
201901,애월읍,10004229697,6
201901,애월읍,10004229698,38
201901,애월읍,10004229699,481
201901,애월읍,10004229791,2833
201901,애월읍,10004229792,141
201901,애월읍,10004229793,357
201901,애월읍,10004229794,335
201901,애월읍,10004229795,183
201901,애월읍,10004229796,19
201901,애월읍,10004229797,180
201901,애월읍,10004229799,5842
201901,애월읍,10004229890,1
201901,애월읍,10004229891,53
201901,애월읍,10004229892,2275
201901,애월읍,10004229893,1351
201901,애월읍,10004229894,33
201901,애월읍,10004229895,140
201901,애월읍,10004229896,140
201901,애월읍,10004229897,431
201901,애월읍,10004229898,802
201901,애월읍,10004229899,27552
201901,애월읍,10004229985,1
201901,애월읍,10004229991,2
201901,애월읍,10004229993,134
201901,애월읍,10004229994,192
201901,애월읍,10004229995,6
201901,애월읍,10004229996,761
201901,애월읍,10004229997,1091
201901,애월읍,10004229998,105
201901,애월읍,10004229999,7822
201901,애월읍,10004239600,436
201901,애월읍,10004239700,17
201901,애월읍,10004239900,1715
201901,애월읍,10004320093,264
201901,애월읍,10004320094,1098
201901,애월읍,10004320095,4440
201901,애월읍,10004320096,341
201901,애월읍,10004320097,144
201901,애월읍,10004320195,2423
201901,애월읍,10004320196,1127
201901,애월읍,10004320197,4384
201901,애월읍,10004320296,35
201901,연동,10004320596,83
201901,연동,10004320597,1116
201901,연동,10004320598,3406
201901,연동,10004320599,14764
201901,연동,10004320696,1506
201901,연동,10004320697,7
201901,연동,10004320698,17899
201901,연동,10004320699,135213
201901,연동,10004320798,78
201901,연동,10004320799,9353
201901,연동,10004330500,36173
201901,연동,10004330600,121635
201901,연동,10004330601,1548
201901,연동,10004330700,5405
201901,용담삼동,10004330502,585
201901,용담삼동,10004330503,1389
201901,용담삼동,10004330603,7192
201901,용담삼동,10004330702,1125
201901,용담삼동,10004330703,10765
201901,용담이동,10004330600,3589
201901,용담이동,10004330601,4959
201901,용담이동,10004330602,177670
201901,용담이동,10004330701,10695
201901,용담이동,10004330702,23449
201901,용담이동,10004330801,6274
201901,용담이동,10004330802,12835
201901,용담이동,10004330803,2216
201901,용담일동,10004330801,10172
201901,용담일동,10004330802,12429
201901,용담일동,10004330803,403
201901,이도이동,10004321099,5232
201901,이도이동,10004330900,1505
201901,이도이동,10004330901,67993
201901,이도이동,10004331000,80906
201901,이도이동,10004331001,36111
201901,이도이동,10004331100,21243
201901,이도이동,10004331101,10146
201901,이도일동,10004330901,23584
201901,이도일동,10004330902,25678
201901,이도일동,10004331001,3209
