emd_nm,WiFi 접속자수,카드이용자수,자동차등록수,사업체수,총인구수,면수,버스탑승자수(1월),버스탑승자수(8월),mean_bus,1월방문객수,8월방문객수,mean_유동인구,주차수요량
건입동,1018933,763641,4279,750,9857,370,49873,59935,658848.0,4182419.0,4615997.0,52790496.0,52131648.0
구좌읍,565136,952715,9161,1738,16283,4,74276,86702,965868.0,4630025.0,6893152.0,69139062.0,68173194.0
노형동,4834174,4562480,59875,4476,56223,1587,294504,347773,3853662.0,13591022.0,14025682.0,165700224.0,161846562.0
도두동,141161,441864,9090,991,3257,897,11652,13320,149832.0,2348270.0,2507425.0,29134170.0,28984338.0
봉개동,393438,362387,3873,269,4936,327,39894,46926,520920.0,2505919.0,3458322.0,35785446.0,35264526.0
삼도1동,919731,614378,15174,1367,14345,151,68603,74856,860754.0,4028351.0,3826244.0,47127570.0,46266816.0
삼도2동,1223869,795022,3530,1029,8662,618,58766,56328,690564.0,3781787.0,3783072.0,45389154.0,44698590.0
삼양동,638591,1042792,12993,1000,25153,656,64546,73562,828648.0,3318351.0,3292408.0,39664554.0,38835906.0
아라동,1552059,2301873,18729,2049,34321,821,257359,287963,3271932.0,8063504.0,9037743.0,102607482.0,99335550.0
애월읍,939748,2262602,22731,2514,36550,36,154435,182420,2021130.0,13767779.0,16535579.0,181820148.0,179799018.0
연동,3126565,4303620,167593,4649,43217,832,323164,374299,4184778.0,14829542.0,14324588.0,174924780.0,170740002.0
오라동,300518,854466,11943,978,14906,971,176387,199364,2254506.0,8031746.0,7708228.0,94439844.0,92185338.0
외도동,994026,944828,11724,1185,21741,514,60016,65909,755550.0,3220686.0,3044436.0,37590732.0,36835182.0
용담1동,812415,300783,3257,805,7610,55,61064,71839,797418.0,2671214.0,2665650.0,32021184.0,31223766.0
용담2동,1658664,3166510,20449,1113,15673,773,239049,261995,3006264.0,8051210.0,9577198.0,105770448.0,102764184.0
우도면,156445,320454,1254,305,1892,38,2147,3583,34380.0,769013.0,1145834.0,11489082.0,11454702.0
이도1동,1706470,651811,3063,1532,7989,592,174604,165156,2038560.0,5133290.0,5919458.0,66316488.0,64277928.0
이도2동,3076786,3887133,42987,5162,50137,1700,368820,406444,4651584.0,17075025.0,15492445.0,195404820.0,190753236.0
이호동,114543,269222,5412,281,4654,804,19807,24356,264978.0,1927025.0,2347766.0,25648746.0,25383768.0
일도1동,1054688,661113,1024,1326,2993,486,45907,74985,725352.0,1800222.0,1823867.0,21744534.0,21019182.0
일도2동,2563285,1787553,14893,2210,34684,690,146960,164805,1870590.0,7036432.0,6513383.0,81298890.0,79428300.0
조천읍,1677427,1589216,14437,1873,24718,175,121781,149827,1629648.0,7531975.0,9914494.0,104678814.0,103049166.0
추자면,0,46687,825,214,2149,0,4353,4827,55080.0,945578.0,977335.0,11537478.0,11482398.0
한경면,296704,376558,5838,720,9447,0,21427,24410,275022.0,2019959.0,2586402.0,27638166.0,27363144.0
한림읍,450801,1377325,12596,2174,25003,53,72144,88902,966276.0,5602212.0,7805394.0,80445636.0,79479360.0
화북동,1346005,1025585,14582,1546,25391,324,142901,156592,1796958.0,5632711.0,5791551.0,68545572.0,66748614.0
