emd_nm,WiFi 접속자수,카드이용자수,자동차등록수,사업체수,총인구수,면수,차량수요량
노형동,4834174,4562480,59875,4476,56223,1587,1140620
삼양동,638591,1042792,12993,1000,25153,656,260698
아라동,1552059,2301873,18729,2049,34321,821,575468
연동,3126565,4303620,167593,4649,43217,832,1075905
오라동,300518,854466,11943,978,14906,971,213616
외도동,994026,944828,11724,1185,21741,514,236207
용담2동,1658664,3166510,20449,1113,15673,773,791628
이도2동,3076786,3887133,42987,5162,50137,1700,971783
일도2동,2563285,1787553,14893,2210,34684,690,446888
화북동,1346005,1025585,14582,1546,25391,324,256396
