제주,2015,2016,2017,2018,2019,,,,,,,
자동차등록수,435015,467243,532838,450061,491312,,,2019,,,,
주차장면수,268751,298548,327125,340013,396638,,제주,80.73037,,,,
주차장확보율,61.77970875,63.89566029,61.39295621,75.5482,80.73037093,,서울,136.0585,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
서울,2015,2016,2017,2018,,,,,,2015,2016,2017
자동차등록수,3056588,3083007,3116256,3124651,3124157,,,,,61.77971,63.89566,61.39296
주차장면수,3877326,3983291,4053875,4129723,4250682,,,,,126.8514,129.2015,130.088
주차장확보율,126.8514435,129.2014906,130.0879966,132.1658963,136.0585271,,,,,,,
